#,Building,"APT No",Level,Aspect,Floorplan,"APT Size(approx BOMA m2 ft2)","Approx Patio Balcony(m2 ft2)","Car park",Bed,Bath,"Price GST Incl",status
1,"The Denizen",,LG,East,,583,,,1,1,0,AVAILABLE
2,"The Denizen",,LG,East,,661,,,1,1,0,AVAILABLE
3,"The Denizen",,LG,East,,850,,,2,2,0,AVAILABLE
4,"The Denizen",,1,North/West,,829,,,2,1,0,AVAILABLE
5,"The Denizen",,"1 & 2",North,,848,,,2,1,0,AVAILABLE
6,"The Denizen",,"3 & 4",North/South,,931,,,2,2,0,AVAILABLE
7,"The Denizen",,"3 & 4",North/South,,848,,,2,1,0,AVAILABLE
8,"The Denizen",,5,South/East,,1116,,,2,2,0,AVAILABLE
9,"The Denizen",,7,North/East,,1057,,,3,2,0,AVAILABLE
